system	micro-p	micro-r	micro-f1	macro-p	macro-r	macro-f1	micro-p-loo	micro-r-loo	micro-f1-loo	macro-p-loo	macro-r-loo	macro-f1-loo	micro-p-lto	micro-r-lto	micro-f1-lto	macro-p-lto	macro-r-lto	macro-f1-lto
SF_CMUML2	0.7222222222222222	0.010030864197530864	0.0197869101978691	0.02169981916817359	0.009693290434700921	0.011838743936393144	0.7222222222222222	0.010030864197530864	0.0197869101978691	0.02169981916817359	0.009693290434700921	0.011838743936393144	0.8461538461538461	0.008500772797527048	0.016832440703902066	0.018083182640144645	0.008487744925357947	0.01011653606590315
SF_CIS4	0.3240072202166065	0.2770061728395062	0.29866888519134777	0.2738230658037748	0.2950100413840273	0.2570001557202571	0.32783882783882784	0.2762345679012346	0.29983249581239535	0.27364921413806	0.29320172312001286	0.256338118995931	0.5531531531531532	0.24898621248986214	0.3434004474272931	0.29902734644582457	0.2733031885956656	0.26322146371305827
KB_NYU1	0.44254658385093165	0.2199074074074074	0.29381443298969073	0.21513060153098454	0.1978827339075968	0.18538186784400176	0.44254658385093165	0.2199074074074074	0.29381443298969073	0.21513060153098454	0.1978827339075968	0.18538186784400176	0.5698198198198198	0.19750195160031225	0.29333333333333333	0.21912377355415344	0.1832889717324604	0.1800016540265811
SF_UGENT_IBCN3	0.3378136200716846	0.2908950617283951	0.3126036484245439	0.31348861939325434	0.3011044547010064	0.2819289640262528	0.3378136200716846	0.2908950617283951	0.3126036484245439	0.31348861939325434	0.3011044547010064	0.2819289640262528	0.5072463768115942	0.2753737214791503	0.3569607343192249	0.32981931169092105	0.2908187836575211	0.2849941187272594
SF_BUPT_PRIS1	0.2961210974456008	0.24151234567901234	0.26604334891627707	0.23250608643917867	0.2681460265900473	0.2212999332524522	0.29686013320647003	0.24074074074074073	0.26587132509586703	0.23069776817516413	0.26633770832603276	0.21949161498843783	0.419811320754717	0.212241653418124	0.2819429778247096	0.2340938553279751	0.24054579417499636	0.20827737556114675
KB_hltcoe2	0.5118549511854951	0.283179012345679	0.3646299056135121	0.2498042707787969	0.23614516023001386	0.22749331003275994	0.5132867132867133	0.283179012345679	0.36499254102436596	0.24990114497151206	0.23614516023001386	0.22754497626887454	0.6149425287356322	0.25	0.3554817275747508	0.255424521114472	0.21742662865942047	0.2181744593173486
KB_UFV1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SF_CMUML1	0.6666666666666666	0.009259259259259259	0.0182648401826484	0.01898734177215192	0.007884972170686464	0.009909871121444367	0.6666666666666666	0.009259259259259259	0.0182648401826484	0.01898734177215192	0.007884972170686464	0.009909871121444367	0.7692307692307693	0.0077279752704791345	0.015302218821729151	0.015370705244122979	0.006679426661343477	0.008187663250954385
KB_NYU5	0.5485232067510548	0.2006172839506173	0.2937853107344633	0.21476067220136993	0.18174673213442877	0.18092211401349748	0.5485232067510548	0.2006172839506173	0.2937853107344633	0.21476067220136993	0.18174673213442877	0.18092211401349748	0.65625	0.18032786885245902	0.28291488058787506	0.22159571391036126	0.17047128232451444	0.17660614627283036
SF_UMass_IESL3	0.2447058823529412	0.24074074074074073	0.2427071178529755	0.23657844573185133	0.2381570262191864	0.21281866963368531	0.3370044052863436	0.23665893271461716	0.2780554293502953	0.2464819160442946	0.23688374787410568	0.21859021724047306	0.4823321554770318	0.2147915027537372	0.29722373434948285	0.24675868092383513	0.2171016273595401	0.212342961914715
KB_UMass_IESL2	0.22446043165467625	0.24074074074074073	0.2323157110945644	0.20355121165363987	0.21060270815416543	0.1844437360401755	0.2769367764915405	0.23996913580246915	0.2571310458867301	0.206552226733444	0.21045201496549756	0.18697417998393595	0.48807339449541287	0.20928402832415421	0.29295154185022027	0.2127451294420441	0.17785267675409308	0.17788067493668205
KB_UMass_IESL4	0.27839643652561247	0.19290123456790123	0.22789425706472197	0.19268023373830814	0.1905980263369104	0.17172162703035426	0.27839643652561247	0.19290123456790123	0.22789425706472197	0.19268023373830814	0.1905980263369104	0.17172162703035426	0.5023584905660378	0.16758457907159716	0.25132743362831855	0.1886052997214524	0.15812170836885248	0.15758414922200584
SF_CIS3	0.3215130023640662	0.3148148148148148	0.31812865497076026	0.2861612218046329	0.3145890368216942	0.2711417822919896	0.3508771929824561	0.2975724353954581	0.3220338983050847	0.28900833467077613	0.30938451800636135	0.27046682442664255	0.5320813771517997	0.275750202757502	0.36324786324786323	0.3173046458372544	0.29458291848523555	0.2826487838743031
KB_BBN1	0.4898148148148148	0.408179012345679	0.4452861952861953	0.33896701873412005	0.33063511407367596	0.3081967387647054	0.4898148148148148	0.408179012345679	0.4452861952861953	0.33896701873412005	0.33063511407367596	0.3081967387647054	0.6002747252747253	0.359375	0.4495884773662551	0.3352873697477297	0.3035942344835016	0.2915755446502826
SF_CIS2	0.3263445761166819	0.2762345679012346	0.299206017551191	0.27295579965621897	0.29325195418290195	0.25573041329342205	0.3266423357664234	0.2762345679012346	0.29933110367892973	0.27295579965621897	0.29325195418290195	0.25573041329342205	0.5507246376811594	0.24655312246553124	0.34061624649859945	0.2984170117322286	0.27271442047972383	0.26257299368677617
SF_CIS1	0.5642633228840125	0.1388888888888889	0.22291021671826622	0.2183103816015209	0.16936712625413164	0.17374417826497374	0.5642633228840125	0.1388888888888889	0.22291021671826622	0.2183103816015209	0.16936712625413164	0.17374417826497374	0.7149122807017544	0.1321978913219789	0.22313483915126625	0.2174775707384403	0.15832473249163764	0.16846134520619646
