system	micro-p	micro-r	micro-f1	macro-p	macro-r	macro-f1	micro-p-loo	micro-r-loo	micro-f1-loo	macro-p-loo	macro-r-loo	macro-f1-loo	micro-p-lto	micro-r-lto	micro-f1-lto	macro-p-lto	macro-r-lto	macro-f1-lto
SF_CMUML2	0.7222222222222222	0.010030864197530864	0.0197869101978691	0.021699819168173616	0.009693290434700913	0.011838743936393123	0.7222222222222222	0.010030864197530864	0.0197869101978691	0.021699819168173616	0.009693290434700913	0.011838743936393123	0.6111111111111112	0.008500772797527048	0.01676829268292683	0.018083182640144677	0.008487744925357936	0.010116536065903164
KB_hltcoe2	0.5118549511854951	0.283179012345679	0.3646299056135121	0.24980427077879708	0.23614516023001395	0.22749331003275983	0.5118549511854951	0.283179012345679	0.3646299056135121	0.24980427077879708	0.23614516023001395	0.22749331003275983	0.4476987447698745	0.25	0.32083958020989506	0.22755417024030916	0.21742662865942028	0.20823555070365157
SF_MSIIPL_THU4	0.05363984674329502	0.010802469135802469	0.017983301220295442	0.015822784810126576	0.011999483337638861	0.011624903125807294	0.04980842911877394	0.010030864197530864	0.016698779704560053	0.014014466546112126	0.010191165073624381	0.00981658486179281	0.04633204633204633	0.009309542280837859	0.015503875968992248	0.013181818181818176	0.008428571428571422	0.00865800865800866
SF_UGENT_IBCN1	0.35422602089268757	0.28780864197530864	0.3175819497658578	0.32139787208550885	0.2996707166488237	0.28648863215080217	0.35422602089268757	0.28780864197530864	0.3175819497658578	0.32139787208550885	0.2996707166488237	0.28648863215080217	0.3295346628679962	0.27301337529504327	0.29862306368330466	0.3053543349726844	0.28998781836000953	0.2744843667612887
KB_UMass_IESL2	0.22446043165467625	0.24074074074074073	0.2323157110945644	0.2035512116536401	0.21060270815416532	0.1844437360401754	0.2237410071942446	0.23996913580246915	0.23157110945644083	0.20337037982723855	0.21045201496549765	0.18427934347071948	0.19136690647482013	0.20928402832415421	0.1999248402856069	0.17081560883627686	0.17785267675409294	0.15554698499540265
KB_UMass_IESL4	0.27839643652561247	0.19290123456790123	0.22789425706472197	0.19268023373830803	0.19059802633691045	0.17172162703035385	0.27839643652561247	0.19290123456790123	0.22789425706472197	0.19268023373830803	0.19059802633691045	0.17172162703035385	0.23719376391982183	0.16758457907159716	0.19640387275242047	0.16152750197709143	0.15812170836885264	0.14320253170938216
SF_CIS2	0.3263445761166819	0.2762345679012346	0.299206017551191	0.272955799656219	0.2932519541829019	0.2557304132934223	0.3263445761166819	0.2762345679012346	0.299206017551191	0.272955799656219	0.2932519541829019	0.2557304132934223	0.2773722627737226	0.24655312246553124	0.26105624731644483	0.2429274850200004	0.27271442047972366	0.23138518166986843
KB_BBN5	0.4918190567853705	0.3942901234567901	0.4376873661670236	0.3197476547131125	0.306277334349831	0.289093366207065	0.480269489894129	0.3865220759101472	0.42832618025751074	0.31473094146855146	0.3019975000532429	0.2848806322506133	0.40230991337824834	0.34375	0.3707317073170731	0.2804939688851866	0.2780506952419515	0.25836963404101515
KB_Stanford2	0.37261146496815284	0.3611111111111111	0.3667711598746082	0.2922605566874201	0.31534271650374246	0.2787901409599455	0.35987261146496813	0.34957463263727767	0.35464888191447624	0.290349132557475	0.31375508833677457	0.2771130597463923	0.3314741035856574	0.32755905511811023	0.32950495049504946	0.2774038710039494	0.29991802846609567	0.26435561397151935
KB_SAFT_ISI1	0.5	0.07175925925925926	0.12550607287449392	0.0976534917764575	0.08061927966725328	0.0810067117933302	0.478494623655914	0.0687789799072643	0.12027027027027025	0.09516705416343757	0.0792512162405622	0.07930411795692076	0.478494623655914	0.0687789799072643	0.12027027027027025	0.09516705416343757	0.0792512162405622	0.07930411795692076
SF_BUPT_PRIS5	0.1699078812691914	0.12808641975308643	0.1460624725032996	0.12271592181176269	0.150819717435356	0.11887398548985373	0.1699078812691914	0.12808641975308643	0.1460624725032996	0.12271592181176269	0.150819717435356	0.11887398548985373	0.13217213114754098	0.10254372019077901	0.1154879140555058	0.09684340160746696	0.13280957614855876	0.10053120307892095
SF_UMass_IESL4	0.36930091185410335	0.1875	0.24872057318321397	0.24424736219967963	0.20507920135297417	0.20008738333137788	0.3617021276595745	0.1839258114374034	0.24385245901639346	0.2418793263777561	0.2032787113065527	0.19842048482903618	0.3191489361702128	0.16522423288749016	0.21772939346811818	0.21129001145000764	0.1832028146513319	0.17693092127284682
SF_UMass_IESL3	0.2447058823529412	0.24074074074074073	0.2427071178529755	0.23657844573185138	0.23815702621918633	0.21281866963368534	0.24	0.23665893271461716	0.2383177570093458	0.2355904393640981	0.23688374787410565	0.21172319286058117	0.21411764705882352	0.2147915027537372	0.21445404556166536	0.2106199885679617	0.21710162735954033	0.19262584453910134
SF_BUPT_PRIS4	0.1699078812691914	0.12808641975308643	0.1460624725032996	0.12271592181176269	0.150819717435356	0.11887398548985373	0.1699078812691914	0.12808641975308643	0.1460624725032996	0.12271592181176269	0.150819717435356	0.11887398548985373	0.13217213114754098	0.10254372019077901	0.1154879140555058	0.09684340160746696	0.13280957614855876	0.10053120307892095
KB_ICTCAS_OKN1	0.40476190476190477	0.013117283950617283	0.025411061285500747	0.023206751054852325	0.009856900182397465	0.01264917521698716	0.40476190476190477	0.013117283950617283	0.025411061285500747	0.023206751054852325	0.009856900182397465	0.01264917521698716	0.35714285714285715	0.011574074074074073	0.02242152466367713	0.021398432790837838	0.009133572876791684	0.011615850494693158
