run_id	p	r	f1	n_samples	delta_p	delta_r	delta_f1	p_lrange	r_lrange	f1_lrange	p_rrange	r_rrange	f1_rrange
KB_BBN1	0.4966378482228625	0.3989197530864201	0.44244758237056075	5372.86328125	0.100312950288	-0.0201802452158	0.035527165798	0.04113757805	0.0282870952151	0.0251794152658	0.032109299952	0.0336963153303	0.0221004487628
KB_BBN2	0.534090909090913	0.36265432098765465	0.4319852941176485	5372.86328125	0.101083096591	-0.0244681249907	0.0236793535183	0.0435191761364	0.0263244747353	0.0241427729748	0.0340376420455	0.0320185413451	0.0224489777024
KB_BBN3	0.4572687224669676	0.40046296296296396	0.4269847799259601	5372.86328125	0.0937396751101	-0.018679797873	0.0380756166944	0.0370973292952	0.0283298577488	0.0246344442184	0.0285414372247	0.0340737662685	0.0209152922554
KB_BBN4	0.3520097442143683	0.4459876543209878	0.3934649421375058	5372.86328125	0.0797307970463	-0.00806620466736	0.0534141398578	0.0306528813946	0.0329761191606	0.0263982264522	0.0230925510049	0.0403652077804	0.0209339658749
KB_BBN5	0.492079207920793	0.38348765432098836	0.4310494362532532	5372.86328125	0.101388459158	-0.0173473253248	0.0358126127685	0.039948174505	0.0269881857337	0.0248189622195	0.0313389542079	0.0304749245076	0.0203938028077
KB_ICTCAS_OKN1	0.3333333333333324	0.010802469135802515	0.02092675635276541	5508.07480315	0.00965504311961	-0.00214045177934	-0.0039584690966	0.0224878140232	0.0014895711126	0.00277018277834	0.00965504311961	0.00181236319958	0.00334211334788
KB_ICTCAS_OKN2	0.9999999999999998	0.003086419753086438	0.006153846153846189	5508.07480315	-1.11022302463e-16	-0.000725012978532	-0.00143990854557	1.11022302463e-16	0.000417993620166	0.000829829538105	-1.11022302463e-16	0.000547528834348	0.0010863322569
KB_ICTCAS_OKN3	0.4716981132075491	0.019290123456790268	0.037064492216456905	5508.07480315	0.0262219581043	-0.00320412557345	-0.00575012298453	0.0303818154806	0.00297117330249	0.00551151128736	0.0262219581043	0.00365952036556	0.00660313986787
KB_ICTCAS_OKN4	0.714285714285715	0.0038580246913580423	0.007674597083653142	5508.07480315	0.0146231721035	-0.000804565372181	-0.00158850013364	0.128233970754	0.000717816887997	0.00142764178144	0.0146231721035	0.000662840272831	0.00130894180553
KB_NYU1	0.4561688311688314	0.21682098765432106	0.2939330543933056	5471.38697318	0.0523461213116	-0.0231288358277	-0.00662186007765	0.0320694631039	0.0192843243577	0.0146541311811	0.0198785888441	0.0221554396758	0.0165333026789
KB_NYU2	0.5784753363228663	0.19907407407407401	0.2962112514351315	5471.38697318	0.0625483222514	-0.022879494206	-0.013726908201	0.0428328436679	0.0180871359427	0.0156768653749	0.0244317303232	0.0201388891408	0.0173619911934
KB_NYU3	0.6064356435643534	0.18904320987654327	0.28823529411764676	5471.38697318	0.068225788096	-0.0206854361106	-0.0131894807515	0.0456355980426	0.0172857637376	0.0158958975167	0.0261465801753	0.0181733774421	0.0172647262478
KB_NYU4	0.45395799676898685	0.21682098765432106	0.29347258485639793	5471.38697318	0.0520924244394	-0.0231288358277	-0.00653718585286	0.0319140375962	0.0192843243577	0.0146677511653	0.0197822467334	0.0221554396758	0.0164926923449
KB_NYU5	0.5771812080536879	0.19907407407407401	0.29604130808950035	5471.38697318	0.0624083931189	-0.022879494206	-0.0136875744031	0.0427370207514	0.0180871359427	0.0156471253235	0.0243770732084	0.0201388891408	0.0173246216521
KB_SAFT_ISI1	0.5055555555555568	0.07021604938271667	0.12330623306233161	5512.34108527	0.0211240310078	-0.0125191208289	-0.0179227037715	0.0177648578811	0.00789532207096	0.011477467694	0.0100129198966	0.00917264419619	0.0129334761444
KB_Stanford1	0.6234096692112125	0.18904320987654302	0.2901124925991727	5410.31899642	0.0400010944212	-0.037091687038	-0.0353753585386	0.0388793127035	0.0204045683768	0.0205935441654	0.0221893895866	0.0277692231317	0.0267411774121
KB_Stanford2	0.369155045118945	0.3472222222222218	0.35785288270377474	5410.31899642	0.0557275632827	-0.0290947451676	0.0164157464065	0.0263068911882	0.030230165595	0.0173431455955	0.0212730924049	0.0376801811349	0.0156579970105
KB_UMass_IESL1	0.2828485456369092	0.21759259259259306	0.24596598342782358	5447.41444867	0.0260515386464	-0.0314253408026	-0.00642454174452	0.0190838675723	0.0204388789976	0.0088872208549	0.0130124212943	0.0236994255817	0.00851443802625
KB_UMass_IESL2	0.22483468038206786	0.23611111111111113	0.23033496424538738	5447.41444867	0.0219699784603	-0.0322886869248	-0.000334047014676	0.0176332544567	0.0211277056413	0.00924299999535	0.0123447029276	0.0248636464871	0.00811717380467
KB_UMass_IESL3	0.26303592120509794	0.17515432098765416	0.21028253821213494	5447.41444867	0.0187558653384	-0.0301322970162	-0.01240596311	0.0135732192502	0.0210698237753	0.0108173893058	0.00716837982279	0.024852728745	0.0123233896094
KB_UMass_IESL4	0.2783505154639175	0.18749999999999978	0.22406639004149362	5447.41444867	0.0213154238477	-0.0308913473165	-0.0116507495204	0.0164852634376	0.0209137447001	0.0101963438565	0.00871519475259	0.0224949921161	0.0117183654794
KB_hltcoe1	0.5384615384615449	0.253858024691358	0.34504457262716437	5450.65789474	0.0535606610635	-0.0328118130093	-0.0146135245241	0.0560956400822	0.0201867151563	0.0171231986741	0.0339207265299	0.0248379015659	0.0237053282797
KB_hltcoe2	0.5000000000000042	0.2746913580246913	0.354581673306774	5450.65789474	0.0603615781026	-0.027866123698	-0.00317880884642	0.0583181971783	0.0192350287365	0.0229148416336	0.0389430387767	0.0242994332022	0.0237307967393
