run_id	p	r	f1	n_samples	delta_p	delta_r	delta_f1	p_lrange	r_lrange	f1_lrange	p_rrange	r_rrange	f1_rrange
KB_BBN1	0.49663784822286167	0.3989197530864184	0.44244758237055937	5000.0	0.00175820103551	-0.00083407324813	0.00291052733588	0.0731270116452	0.0875196550588	0.0650062588115	0.0671710767167	0.092755330526	0.0655912865025
KB_BBN2	0.5340909090909136	0.362654320987653	0.43198529411764763	5000.0	-0.00093217255787	-0.00075580297991	0.002052429062	0.0736490007664	0.0748016455657	0.0590350787138	0.0732588460621	0.0850482629989	0.06530729816
KB_BBN3	0.4572687224669667	0.4004629629629621	0.4269847799259586	5000.0	0.00217768486803	-0.00148724980614	0.00325091291798	0.0789692427271	0.086763904099	0.0587850675726	0.0701945491927	0.0923649904229	0.0566209324233
KB_BBN4	0.3520097442143569	0.44598765432098636	0.39346494213749816	5000.0	0.00269224720978	-5.84452820065e-05	0.00474422853641	0.0645655068025	0.104924564875	0.0592200030301	0.0665644307063	0.112567977199	0.0622603370032
KB_BBN5	0.4920792079207967	0.3834876543209866	0.4310494362532535	5000.0	-0.00125794097853	-0.000776648252819	0.00201357184488	0.0710478768687	0.0750016513639	0.0567623781944	0.0790952835331	0.0979053316763	0.0659807279776
KB_ICTCAS_OKN1	0.333333333333333	0.01080246913580249	0.02092675635276536	5000.0	-0.00274490663659	-2.41682627631e-06	0.000274200878851	0.0623408662325	0.00949382666624	0.0180408765207	0.0623875661895	0.0132836661671	0.0245132153172
KB_ICTCAS_OKN2	0.9999999999999982	0.003086419753086429	0.006153846153846172	5000.0	-1.7763568394e-15	0.000129709947015	0.000272554636286	0.0	0.00295670980607	0.00588129151756	0.0	0.00544344278092	0.0107790198692
KB_ICTCAS_OKN3	0.47169811320754934	0.019290123456790202	0.03706449221645679	5000.0	0.0036016770358	-0.000274645273247	-4.51568598104e-05	0.0714022212957	0.0132289915227	0.0246043325276	0.065201284626	0.0178307282632	0.032000379939
KB_ICTCAS_OKN4	0.714285714285715	0.0038580246913580336	0.007674597083653126	5000.0	0.00145005655579	9.85498925043e-05	0.000240252733874	0.0666510969491	0.00375947479885	0.00743434434978	0.0580814047472	0.00917817961954	0.0179600656183
KB_NYU1	0.4561688311688337	0.21682098765432006	0.29393305439330514	5000.0	0.00153528312099	0.00172812306862	0.00477821212533	0.0692340787082	0.0548858448837	0.053549034901	0.0614750829045	0.0675912050777	0.0558017864402
KB_NYU2	0.5784753363228742	0.19907407407407385	0.29621125143513233	5000.0	0.00417869376582	0.00200241972603	0.00513983740338	0.0671217088971	0.0601743693153	0.0695611773041	0.0740266807663	0.0598002337338	0.0665084655748
KB_NYU3	0.6064356435643564	0.1890432098765431	0.2882352941176469	5000.0	-0.00334066087212	0.00215651608768	0.0044838506935	0.0826466748069	0.0602653413347	0.0754302546997	0.0705161457848	0.0610498927509	0.0668767879539
KB_NYU4	0.4539579967689784	0.21682098765432006	0.2934725848563952	5000.0	-0.0035333649498	0.00172812306862	0.00348990706465	0.0648987691262	0.0548858448837	0.0569389512151	0.0710027559283	0.0675912050777	0.0648523171936
KB_NYU5	0.5771812080536896	0.19907407407407385	0.2960413080895004	5000.0	-0.00187837365954	0.00200241972603	0.00446001767527	0.0714452248292	0.0601743693153	0.0723961086162	0.069524029928	0.0598002337338	0.0696353787895
KB_SAFT_ISI1	0.5055555555555574	0.07021604938271649	0.12330623306233135	5000.0	-0.00217632042884	-0.00154692947635	-0.0013481144533	0.070486505614	0.0285900436943	0.0453603883832	0.0696612864088	0.0362902833136	0.0531942266639
KB_Stanford1	0.6234096692112178	0.18904320987654294	0.29011249259917316	5000.0	0.000773824552103	8.22038503809e-05	0.00206671727119	0.073371230425	0.0466860577345	0.0566896538146	0.0585364010764	0.0604720644359	0.0695634980698
KB_Stanford2	0.3691550451189424	0.3472222222222198	0.3578528827037725	5000.0	0.00244865674546	-0.00310070956072	0.00258642292573	0.0642473278262	0.0825108764801	0.0482106713986	0.0631183582481	0.0946693646278	0.0566093959637
KB_UMass_IESL1	0.28284854563691264	0.21759259259259148	0.24596598342782383	5000.0	0.00212347807034	-0.000366252235563	0.00329884532602	0.064584527026	0.0604345887418	0.0509649946864	0.06638237045	0.0593274667124	0.0508840551206
KB_UMass_IESL2	0.22483468038206944	0.23611111111111002	0.23033496424538766	5000.0	0.00427607963244	-0.00112043941824	0.00471239545966	0.0543740277469	0.0627020056836	0.0438769672541	0.0524172515231	0.0694594534655	0.0418212686288
KB_UMass_IESL3	0.26303592120509955	0.17515432098765366	0.2102825382121351	5000.0	-0.000394510233559	0.00104687712478	0.00364083517579	0.0573235612097	0.0556992630584	0.0473990571951	0.0646550647445	0.0579528945927	0.0467107503495
KB_UMass_IESL4	0.278350515463919	0.18749999999999908	0.22406639004149356	5000.0	-0.00308542961463	0.00145234115927	0.00320238555072	0.0734024499904	0.0589353564397	0.0490571145904	0.0753865740054	0.0586250238874	0.0470393744641
KB_hltcoe1	0.5384615384615422	0.2538580246913568	0.34504457262716276	5000.0	0.00330850244785	0.00416689634814	0.00697559338555	0.078570277393	0.0631621724726	0.0663860816502	0.0690940682334	0.0775224776439	0.0666900152937
KB_hltcoe2	0.5000000000000026	0.2746913580246901	0.3545816733067725	5000.0	0.000662108108451	0.00517433840413	0.00755265477112	0.064959284735	0.0701295351954	0.0643153147421	0.0709711524572	0.0838811943964	0.0663573358615
